	MST107_MiFiU_tag45	MST107_MiFiU_tag46	MST109_MiFiU_tag47	MST109_MiFiU_tag48	MST110_MiFiU_tag49	MST110_MiFiU_tag50	MST221_MiFiU_tag51	MST221_MiFiU_tag52	MST235_MiFiU_tag53	MST235_MiFiU_tag54	NC_MiFiU_tag55	PCMock_MiFiU_tag56
seq298	0	0	0	0	0	0	0	3	115	9	0	0
seq299	0	0	0	0	0	0	0	0	126	0	0	0
seq300	59	67	0	0	0	0	0	0	0	0	0	0
seq301	0	0	0	0	0	0	0	0	123	2	0	0
seq302	6	0	0	0	0	0	97	0	22	0	0	0
seq303	14	110	0	0	0	0	0	0	0	0	0	0
seq304	0	0	0	0	0	0	0	0	0	0	0	124
seq305	0	0	6	116	0	0	0	0	0	0	0	0
seq306	0	0	0	11	0	0	9	26	76	0	0	0
seq307	0	0	0	0	0	0	0	0	65	56	0	0
seq308	0	0	20	30	65	6	0	0	0	0	0	0
seq309	0	0	0	0	0	0	0	0	0	119	0	0
seq310	0	5	0	112	0	0	0	0	0	0	0	0
seq311	0	0	0	0	0	0	0	0	0	0	0	117
seq312	0	0	117	0	0	0	0	0	0	0	0	0
seq313	0	0	0	0	0	0	0	0	0	116	0	0
seq314	4	110	0	0	0	0	0	0	0	0	0	0
seq315	43	0	20	50	0	0	0	0	0	0	0	0
seq316	0	0	11	0	0	6	62	0	0	34	0	0
seq317	0	0	0	0	0	0	93	19	0	0	0	0
seq318	0	0	0	0	111	0	0	0	0	0	0	0
seq319	0	0	32	49	22	5	0	0	0	2	0	0
seq320	0	0	0	109	0	0	0	0	0	0	0	0
seq321	0	0	0	0	109	0	0	0	0	0	0	0
seq322	53	0	56	0	0	0	0	0	0	0	0	0
seq323	0	108	0	0	0	0	0	0	0	0	0	0
seq324	0	0	108	0	0	0	0	0	0	0	0	0
seq325	0	0	0	0	0	0	0	0	108	0	0	0
seq326	0	0	0	0	0	107	0	0	0	0	0	0
seq327	0	15	0	0	0	0	0	0	91	0	0	0
seq328	0	37	0	69	0	0	0	0	0	0	0	0
seq329	106	0	0	0	0	0	0	0	0	0	0	0
seq330	0	0	0	0	0	0	0	0	0	0	0	105
seq331	0	0	0	0	0	0	0	0	25	80	0	0
seq332	0	0	40	64	0	0	0	0	0	0	0	0
seq333	0	0	0	0	0	0	104	0	0	0	0	0
seq334	0	0	0	0	103	0	0	0	0	0	0	0
seq335	0	0	0	0	0	0	0	0	102	0	0	0
seq336	0	0	0	0	2	0	0	0	80	20	0	0
seq337	0	0	0	18	0	0	0	0	54	29	0	0
seq338	0	0	0	0	0	101	0	0	0	0	0	0
seq339	0	0	0	0	0	0	0	0	0	0	0	101
seq340	41	0	0	0	0	0	60	0	0	0	0	0
seq341	0	0	0	0	0	0	0	0	89	12	0	0
seq342	0	0	0	0	0	0	0	0	100	0	0	0
seq343	0	0	0	0	0	0	0	0	100	0	0	0
seq344	0	15	74	11	0	0	0	0	0	0	0	0
seq345	0	0	0	0	0	0	98	0	0	0	0	0
seq346	0	0	13	0	0	0	0	0	84	0	0	0
seq347	0	0	0	0	52	0	0	0	45	0	0	0
seq348	0	0	0	0	0	0	0	0	95	0	0	0
seq349	95	0	0	0	0	0	0	0	0	0	0	0
seq350	0	0	0	0	0	0	95	0	0	0	0	0
seq351	0	0	19	37	38	0	0	0	0	0	0	0
seq352	0	0	13	0	0	0	0	0	36	45	0	0
seq353	0	0	0	0	0	0	0	3	89	0	0	0
seq354	0	0	0	0	92	0	0	0	0	0	0	0
seq355	0	0	91	0	0	0	0	0	0	0	0	0
seq356	0	0	0	0	0	0	0	0	36	54	0	0
seq357	0	0	13	0	0	0	0	0	76	0	0	0
seq358	0	0	0	0	0	0	0	0	89	0	0	0
seq359	0	0	0	21	0	0	67	0	0	0	0	0
seq360	0	0	0	80	8	0	0	0	0	0	0	0
seq361	0	0	0	0	0	0	0	0	76	11	0	0
seq362	87	0	0	0	0	0	0	0	0	0	0	0
seq363	0	0	87	0	0	0	0	0	0	0	0	0
seq364	0	86	0	0	0	0	0	0	0	0	0	0
seq365	0	0	0	0	0	0	0	0	85	0	0	0
seq366	0	48	0	0	0	0	0	0	37	0	0	0
seq367	0	0	24	0	0	0	60	0	0	0	0	0
seq368	0	0	0	0	0	0	0	0	65	19	0	0
seq369	0	0	0	18	0	0	32	34	0	0	0	0
seq370	0	65	0	18	0	0	0	0	0	0	0	0
seq371	0	0	83	0	0	0	0	0	0	0	0	0
seq372	0	0	0	0	0	0	83	0	0	0	0	0
seq373	0	0	0	0	0	0	79	0	4	0	0	0
seq374	0	0	0	0	0	0	0	0	0	0	0	82
seq375	0	0	0	55	27	0	0	0	0	0	0	0
seq376	0	82	0	0	0	0	0	0	0	0	0	0
seq377	0	10	8	49	14	0	0	0	0	0	0	0
seq378	0	0	0	0	72	0	0	0	0	9	0	0
seq379	0	0	26	0	5	0	50	0	0	0	0	0
seq380	0	0	0	0	81	0	0	0	0	0	0	0
seq381	0	0	71	9	0	0	0	0	0	0	0	0
seq382	0	0	0	0	0	0	80	0	0	0	0	0
seq383	0	0	0	0	0	0	0	0	80	0	0	0
seq384	0	80	0	0	0	0	0	0	0	0	0	0
seq385	0	0	57	0	0	0	23	0	0	0	0	0
seq386	0	0	0	0	0	0	0	0	71	8	0	0
seq387	0	0	78	0	0	0	0	0	0	0	0	0
seq388	29	49	0	0	0	0	0	0	0	0	0	0
seq389	0	0	0	0	78	0	0	0	0	0	0	0
seq390	0	78	0	0	0	0	0	0	0	0	0	0
seq391	0	0	0	0	0	0	78	0	0	0	0	0
seq392	0	0	0	0	0	0	0	0	74	3	0	0
seq393	0	0	0	0	77	0	0	0	0	0	0	0
seq394	0	0	43	0	0	0	33	0	0	0	0	0
seq395	60	16	0	0	0	0	0	0	0	0	0	0
seq396	0	0	0	0	76	0	0	0	0	0	0	0
seq397	76	0	0	0	0	0	0	0	0	0	0	0
seq398	46	29	0	0	0	0	0	0	0	0	0	0
seq399	0	0	0	0	7	68	0	0	0	0	0	0
seq400	0	0	75	0	0	0	0	0	0	0	0	0
seq401	0	0	13	0	34	0	26	0	0	0	0	0
seq402	0	0	0	0	0	0	62	11	0	0	0	0
seq403	0	0	0	72	0	0	0	0	0	0	0	0
seq404	0	0	0	0	71	0	0	0	0	0	0	0
seq405	0	0	0	0	42	0	0	0	29	0	0	0
seq406	71	0	0	0	0	0	0	0	0	0	0	0
seq407	0	0	70	0	0	0	0	0	0	0	0	0
seq408	0	0	0	0	0	0	0	0	0	0	0	70
seq409	70	0	0	0	0	0	0	0	0	0	0	0
seq410	0	0	0	0	0	0	0	0	70	0	0	0
seq411	0	0	0	0	0	0	0	0	60	9	0	0
seq412	0	0	69	0	0	0	0	0	0	0	0	0
seq413	0	68	0	0	0	0	0	0	0	0	0	0
seq414	0	0	0	68	0	0	0	0	0	0	0	0
seq415	0	0	68	0	0	0	0	0	0	0	0	0
seq416	31	36	0	0	0	0	0	0	0	0	0	0
